data,maxima,minima,abertura,fechamento,variacao
2021-01-01,4.920000076293945,4.25,4.630000114440918,4.519999980926514,-0.023758127601620382
2021-02-01,4.769999980926514,3.740000009536743,4.599999904632568,3.740000009536743,-0.18695650280986667
2021-03-01,4.329999923706055,3.4200000762939453,3.7899999618530273,3.9800000190734863,0.05013194172370469
2021-04-01,4.400000095367432,3.8399999141693115,3.990000009536743,3.869999885559082,-0.030075218970135712
2021-05-01,4.360000133514404,3.759999990463257,3.9000000953674316,4.21999979019165,0.0820512017946683
2021-06-01,4.900000095367432,4.25,4.260000228881836,4.329999923706055,0.016431852362269066
2021-07-01,4.460000038146973,3.640000104904175,4.400000095367432,3.640000104904175,-0.17272726681606843
2021-08-01,3.7300000190734863,3.0399999618530273,3.700000047683716,3.2100000381469727,-0.13243243330320884
2021-09-01,3.3299999237060547,2.680000066757202,3.2300000190734863,2.7100000381469727,-0.1609907052185324
2021-10-01,3.2200000286102295,2.4700000286102295,2.7200000286102295,2.4800000190734863,-0.0882352966957026
2021-11-01,3.009999990463257,2.2899999618530273,2.549999952316284,2.4800000190734863,-0.02745095472618093
2021-12-01,2.9000000953674316,2.3299999237060547,2.5,2.490000009536743,-0.0039999961853027345
