,dt_ini_treinamento,dt_fin_treinamento,dt_ini_validacao,dt_fin_validacao,modelo,betha,sharpe,mod_err,erro
0,2021-01-01,2021-12-01,2021-01-01,2021-12-01,DMINMAX,1.1577873001134855,-0.2326483828240138,0.019418127701578802,-0.019418127701578802
1,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MAD,1.2183918124459168,-0.3538923934574298,0.08775606492111243,-0.08775606492111243
2,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MADD,1.2379756383822438,-0.3340173333040196,0.07996678006162805,-0.07996678006162805
3,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MENS,0.9999999999999999,-0.9987353121724133,0.29448442057644175,-0.29448442057644175
4,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MEQ,1.2090947568719215,-0.3956718925573116,0.10266282063731158,-0.10266282063731158
5,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MINMAX,1.1630867851599491,-0.24733596609385072,0.02689470820287998,-0.02689470820287998
6,2021-01-01,2021-12-01,2021-01-01,2021-12-01,MVE,1.1107731672245693,-0.7874803033974598,0.28163097643983726,-0.28163097643983726
7,2020-01-01,2020-12-01,2021-01-01,2021-12-01,DMINMAX,1.1347428333496898,-0.43544900195752223,0.14371710426639128,-0.14371710426639128
8,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MAD,1.1427635278273576,-0.6600413478718963,0.23268148047955028,-0.23268148047955028
9,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MADD,1.172166650692423,-0.46598005128130493,0.16970116814276415,-0.16970116814276415
10,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MENS,1.158391945395653,-0.6392363531222752,0.22287139535375133,-0.22287139535375133
11,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MEQ,1.160639938881552,-0.6138243076315113,0.21896154633979237,-0.21896154633979237
12,2020-01-01,2020-12-01,2021-01-01,2021-12-01,MINMAX,1.1875803722141958,-0.62066849316805,0.22373827323606899,-0.22373827323606899
13,2020-01-01,2020-12-01,2020-01-01,2020-12-01,DMINMAX,0.9077611192360672,0.29451378438068343,0.41901485463537846,0.41901485463537846
14,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MAD,1.0239255246661012,0.10461867796831655,0.06499193529354619,0.06499193529354619
15,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MADD,0.8539330892634055,0.28473362886551756,0.3765120610661348,0.3765120610661348
16,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MENS,1.0000000000000204,0.1181211098502355,0.08933627882380746,0.08933627882380746
17,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MEQ,1.043292941499092,0.08965170490772666,0.03885286470091942,0.03885286470091942
18,2020-01-01,2020-12-01,2020-01-01,2020-12-01,MINMAX,0.9833887199964684,0.10206891773030015,0.06336451467840742,0.06336451467840742
19,2019-01-01,2019-12-01,2021-01-01,2021-12-01,DMINMAX,1.221578541294391,-0.6806860844326426,0.259941771648482,-0.259941771648482
20,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MAD,1.1314850156067964,-0.6165237349259907,0.23511387458252164,-0.23511387458252164
21,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MADD,0.9888296453140747,-0.702387588758038,0.21055357260202634,-0.21055357260202634
22,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MENS,1.2418731507976868,-0.6471127302783584,0.25284684633606636,-0.25284684633606636
23,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MEQ,1.1785544962342012,-0.7126993831371302,0.24666783503072465,-0.24666783503072465
24,2019-01-01,2019-12-01,2021-01-01,2021-12-01,MINMAX,1.2215785412943907,-0.680686084432643,0.259941771648482,-0.259941771648482
25,2019-01-01,2019-12-01,2020-01-01,2020-12-01,DMINMAX,0.8904196097755385,0.09154950795755305,0.05145054537075633,0.05145054537075633
26,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MAD,1.0925226557354724,0.06476061000171664,0.008497606146876446,-0.008497606146876446
27,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MADD,1.1089339211072018,0.19761782927978958,0.24555382332334585,0.24555382332334585
28,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MENS,0.9292069607700347,0.05180727643782352,0.011318512434262962,-0.011318512434262962
29,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MEQ,0.9350975249823241,0.11698160600710039,0.08956339625167731,0.08956339625167731
30,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MINMAX,0.8904196097755382,0.09154950795755304,0.05145054537075633,0.05145054537075633
31,2019-01-01,2019-12-01,2020-01-01,2020-12-01,DMINMAX,0.8904196097755385,0.09154950795755305,0.05145054537075633,0.05145054537075633
32,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MAD,1.0925226557354724,0.06476061000171664,0.008497606146876446,-0.008497606146876446
33,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MADD,1.1089339211072018,0.19761782927978958,0.24555382332334585,0.24555382332334585
34,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MENS,0.9292069607700347,0.05180727643782352,0.011318512434262962,-0.011318512434262962
35,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MEQ,0.9350975249823241,0.11698160600710039,0.08956339625167731,0.08956339625167731
36,2019-01-01,2019-12-01,2020-01-01,2020-12-01,MINMAX,0.8904196097755382,0.09154950795755304,0.05145054537075633,0.05145054537075633
