data,maxima,minima,abertura,fechamento,variacao
2020-01-01,17.15999984741211,15.489999771118164,15.670000076293945,16.75,0.06892150085818516
2020-02-01,17.6200008392334,15.569999694824219,16.780000686645508,16.1299991607666,-0.03873668052923353
2020-03-01,17.40999984741211,11.8100004196167,15.699999809265137,12.4399995803833,-0.20764332920297185
2020-04-01,14.609999656677246,11.699999809265137,12.010000228881836,12.760000228881836,0.062447958843197045
2020-05-01,14.65999984741211,12.180000305175781,12.760000228881836,13.619999885559082,0.06739809100713537
2020-06-01,15.1899995803833,13.260000228881836,13.380000114440918,14.199999809265137,0.06128547741484697
2020-07-01,17.5,14.020000457763672,14.199999809265137,15.75,0.10915494447567019
2020-08-01,15.9399995803833,14.229999542236328,15.670000076293945,14.319999694824219,-0.0861519065026712
2020-09-01,15.520000457763672,12.90999984741211,14.800000190734863,13.0600004196167,-0.11756755058742793
2020-10-01,13.800000190734863,11.699999809265137,13.010000228881836,11.850000381469727,-0.08916216963908595
2020-11-01,14.199999809265137,11.420000076293945,11.850000381469727,13.489999771118164,0.13839656851091445
2020-12-01,15.140000343322754,13.579999923706055,13.579999923706055,14.649999618530273,0.07879231964916021
