data,maxima,minima,abertura,fechamento,variacao
2020-01-01,10.850000381469727,9.279999732971191,9.279999732971191,9.529999732971191,0.02693965594759313
2020-02-01,10.479999542236328,7.449999809265137,9.600000381469727,7.949999809265137,-0.1718750527749438
2020-03-01,8.729999542236328,3.7100000381469727,8.100000381469727,4.650000095367432,-0.4259259411882028
2020-04-01,5.650000095367432,4.070000171661377,4.510000228881836,5.150000095367432,0.14190683680835883
2020-05-01,6.380000114440918,4.880000114440918,5.150000095367432,6.170000076293945,0.19805824505596262
2020-06-01,7.489999771118164,6.110000133514404,6.25,7.309999942779541,0.16959999084472657
2020-07-01,8.300000190734863,7.0,7.349999904632568,8.039999961853027,0.09387756002358105
2020-08-01,9.359999656677246,7.880000114440918,8.109999656677246,8.789999961853027,0.08384714352187589
2020-09-01,9.75,8.65999984741211,8.819999694824219,9.399999618530273,0.06575963081341285
2020-10-01,10.680000305175781,9.130000114440918,9.399999618530273,9.800000190734863,0.042553254089081706
2020-11-01,10.649999618530273,9.359999656677246,9.800000190734863,10.260000228881836,0.04693877848919502
2020-12-01,11.470000267028809,10.260000228881836,10.40999984741211,11.260000228881836,0.08165229528615543
2021-01-01,13.300000190734863,10.479999542236328,11.260000228881836,10.579999923706055,-0.06039078964062402
