data,maxima,minima,abertura,fechamento,variacao
2021-01-01,17.309999465942383,12.8100004196167,14.609999656677246,13.199999809265137,-0.09650923207022072
2021-02-01,17.600000381469727,12.960000038146973,13.449999809265137,16.239999771118164,0.20743494434335338
2021-03-01,18.899999618530273,15.850000381469727,16.489999771118164,17.100000381469727,0.03699215396109124
2021-04-01,23.56999969482422,16.559999465942383,17.260000228881836,22.450000762939453,0.30069527608539576
2021-05-01,24.360000610351562,19.030000686645508,22.520000457763672,19.860000610351562,-0.11811721995303451
2021-06-01,20.520000457763672,17.520000457763672,20.309999465942383,19.100000381469727,-0.059576519758244725
2021-07-01,21.170000076293945,18.520000457763672,19.5,20.56999969482422,0.054871779221754804
2021-08-01,22.43000030517578,16.75,20.920000076293945,18.489999771118164,-0.11615680192704209
2021-09-01,17.309999465942383,13.100000381469727,17.1200008392334,16.1200008392334,-0.058411212089915884
2021-10-01,17.3700008392334,13.130000114440918,16.15999984741211,13.25,-0.1800742496837413
2021-11-01,14.130000114440918,11.850000381469727,13.380000114440918,13.59000015258789,0.015695069981376267
2021-12-01,15.890000343322754,13.350000381469727,13.960000038146973,15.220000267028809,0.09025789580506952
