data,maxima,minima,abertura,fechamento,variacao
2021-02-01,54.13999938964844,45.70000076293945,49.619998931884766,46.16999816894531,-0.06952843283361208
2021-03-01,51.529998779296875,44.369998931884766,47.290000915527344,48.13999938964844,0.017974169119586603
2021-04-01,53.290000915527344,46.709999084472656,48.5,48.7400016784668,0.004948488215810245
2021-05-01,52.189998626708984,47.029998779296875,48.599998474121094,51.54999923706055,0.060699606081475344
2021-06-01,59.70000076293945,51.54999923706055,51.619998931884766,56.7400016784668,0.09918641713530714
2021-07-01,61.290000915527344,52.709999084472656,56.38999938964844,53.75,-0.04681680117437746
2021-08-01,56.29999923706055,51.2400016784668,54.2599983215332,51.619998931884766,-0.048654616131839204
2021-09-01,52.720001220703125,44.810001373291016,51.83000183105469,45.56999969482422,-0.12077950829783106
2021-10-01,46.189998626708984,37.08000183105469,45.630001068115234,38.900001525878906,-0.1474906724676593
2021-11-01,41.91999816894531,25.84000015258789,39.790000915527344,26.690000534057617,-0.32922845137099965
2021-12-01,28.079999923706055,24.520000457763672,26.90999984741211,25.559999465942383,-0.050167238540492
