data,maxima,minima,abertura,fechamento,variacao
2021-02-01,20.27272605895996,15.918181419372559,18.327272415161133,16.73636245727539,-0.08680560433911982
2021-03-01,18.27272605895996,15.63636302947998,16.909090042114258,16.990909576416016,0.004838789911105552
2021-04-01,22.227272033691406,16.990909576416016,17.10909080505371,21.545454025268555,0.2592985957444579
2021-05-01,21.545454025268555,18.327272415161133,21.545454025268555,18.709089279174805,-0.13164562430512047
2021-06-01,21.68181800842285,18.68181800842285,18.836362838745117,21.636362075805664,0.14864861443957422
2021-07-01,21.954544067382812,18.863636016845703,21.899999618530273,20.027271270751953,-0.08551271143373658
2021-08-01,20.92727279663086,18.35454559326172,20.045454025268555,18.872726440429688,-0.05850341844891966
2021-09-01,18.872726440429688,18.872726440429688,18.872726440429688,18.872726440429688,0.0
2021-10-01,18.872726440429688,18.872726440429688,18.872726440429688,18.872726440429688,0.0
2021-11-01,18.872726440429688,18.872726440429688,18.872726440429688,18.872726440429688,0.0
2021-12-01,18.872730255126953,18.872726440429688,18.872726440429688,18.872730255126953,2.0212751335456482e-07
