data,maxima,minima,abertura,fechamento,variacao
2021-01-01,10.09000015258789,8.210000038146973,8.850000381469727,8.789999961853027,-0.006779708139033425
2021-02-01,13.329999923706055,8.770000457763672,8.930000305175781,12.229999542236328,0.36954077539592967
2021-03-01,15.039999961853027,11.489999771118164,12.529999732971191,14.010000228881836,0.11811656244622262
2021-04-01,16.549999237060547,13.859999656677246,14.180000305175781,15.399999618530273,0.08603662109296185
2021-05-01,18.030000686645508,15.140000343322754,15.220000267028809,17.280000686645508,0.1353482512138513
2021-06-01,21.559999465942383,17.149999618530273,17.790000915527344,18.8700008392334,0.060708255656323026
2021-07-01,19.920000076293945,16.719999313354492,18.989999771118164,18.59000015258789,-0.02106369791213119
2021-08-01,23.850000381469727,17.84000015258789,18.790000915527344,23.420000076293945,0.24640760698103778
2021-09-01,24.65999984741211,19.959999084472656,23.600000381469727,23.1299991607666,-0.01991530564008639
2021-10-01,26.600000381469727,21.510000228881836,23.350000381469727,21.93000030517578,-0.06081370677067911
2021-11-01,23.729999542236328,18.719999313354492,22.09000015258789,19.139999389648438,-0.13354462392766683
2021-12-01,25.110000610351562,18.139999389648438,19.799999237060547,25.020000457763672,0.2636364354465537
