data,maxima,minima,abertura,fechamento,variacao
2021-03-29,21.020000457763672,20.049999237060547,20.280000686645508,20.440000534057617,0.007889538559901044
2021-04-05,22.020000457763672,19.93000030517578,20.600000381469727,21.670000076293945,0.05194173179660294
2021-04-12,22.520000457763672,21.479999542236328,21.780000686645508,21.920000076293945,0.006427887292688593
2021-04-19,22.149999618530273,21.110000610351562,21.90999984741211,21.729999542236328,-0.008215440731600092
2021-04-26,21.809999465942383,19.8700008392334,21.610000610351562,20.030000686645508,-0.07311429334014954
2021-05-03,20.25,19.299999237060547,20.110000610351562,19.889999389648438,-0.010939891299151927
2021-05-10,19.979999542236328,18.5,19.889999389648438,19.149999618530273,-0.03720461507421111
2021-05-17,19.40999984741211,18.25,19.1200008392334,18.530000686645508,-0.0308577472118744
2021-05-24,20.65999984741211,18.510000228881836,18.549999237060547,20.25,0.09164424974978258
2021-05-31,21.260000228881836,19.979999542236328,20.260000228881836,20.5,0.011845990543278973
