datas,variacao_carteira,variacao_benchmark
jan21,-0.050635210109684886,-0.04394706889211333
fev21,0.04394493817424015,0.05996219419099204
mar21,0.0427590888038205,0.019289461952607934
abr21,0.07554308569579442,0.061075568931745004
mai21,0.004626915336956694,0.004626915336956694
jun21,-0.04831245465821225,-0.039439441018280466
jul21,-0.0575728906135349,-0.024810554748241013
ago21,-0.12630013748684302,-0.06577828659937875
set21,-0.06739052081456118,-0.06739052081456118
out21,-0.005437078170882976,-0.015447185887899222
nov21,0.02851367793084502,0.02851367793084501
