datas,variacao_carteira,variacao_benchmark
jan21,-0.07324640649679501,-0.04394706889211333
fev21,0.04846110503734658,0.05996219419099204
mar21,0.026396973031361178,0.019289461952607934
abr21,0.0784550830333703,0.061075568931745004
mai21,0.010234340042757317,0.004626915336956694
jun21,-0.04449311191156081,-0.039439441018280466
jul21,-0.04406870015302071,-0.024810554748241013
ago21,-0.10637972144084781,-0.06577828659937875
set21,-0.07876602335887525,-0.06739052081456118
out21,-0.006487260358964931,-0.015447185887899222
nov21,0.008718183670011898,0.02851367793084501
