datas,variacao_carteira,variacao_benchmark
jan21,-0.07657713618764501,-0.04394706889211333
fev21,0.05996219419099202,0.05996219419099204
mar21,0.019289461952607938,0.019289461952607934
abr21,0.07886183167517868,0.061075568931745004
mai21,0.004626915336956687,0.004626915336956694
jun21,-0.03943944101828043,-0.039439441018280466
jul21,-0.04153320090623752,-0.024810554748241013
ago21,-0.10450579885287384,-0.06577828659937875
set21,-0.08737391177426308,-0.06739052081456118
out21,-0.011959182899989979,-0.015447185887899222
nov21,-0.001947874018998541,0.02851367793084501
