datas,variacao_carteira,variacao_benchmark
jan21,-0.08523457637355554,-0.04394706889211333
fev21,0.02091402831887775,0.05996219419099204
mar21,-0.024504527207581447,0.019289461952607934
abr21,0.03622245564024938,0.061075568931745004
mai21,-0.02899867427604856,0.004626915336956694
jun21,-0.05675948411950129,-0.039439441018280466
jul21,-0.06838029624202221,-0.024810554748241013
ago21,-0.1080183812515377,-0.06577828659937875
set21,-0.09436854727445806,-0.06739052081456118
out21,-0.05276137246711163,-0.015447185887899222
nov21,-0.005835758465324983,0.02851367793084501
