datas,variacao_carteira,variacao_benchmark
jan21,-0.07814089180342185,-0.04394706889211333
fev21,0.04050126845286442,0.05996219419099204
mar21,0.03323170898291829,0.019289461952607934
abr21,0.09157386017253712,0.061075568931745004
mai21,0.02605526300499403,0.004626915336956694
jun21,-0.07064999017416988,-0.039439441018280466
jul21,-0.05006663954230282,-0.024810554748241013
ago21,-0.0999721095106872,-0.06577828659937875
set21,-0.02970150178178046,-0.06739052081456118
out21,0.02109660594369732,-0.015447185887899222
nov21,0.022701042692717235,0.02851367793084501
