datas,variacao_carteira,variacao_benchmark
jan21,-0.0782165094517926,-0.04394706889211333
fev21,0.0413322239101402,0.05996219419099204
mar21,0.032416717440395294,0.019289461952607934
abr21,0.09062041659387393,0.061075568931745004
mai21,0.024952411776559182,0.004626915336956694
jun21,-0.0682589012054859,-0.039439441018280466
jul21,-0.049152248105395056,-0.024810554748241013
ago21,-0.10004772715905795,-0.06577828659937875
set21,-0.034181156058124676,-0.06739052081456118
out21,0.01882225467178007,-0.015447185887899222
nov21,0.021087987595963694,0.02851367793084501
