data,maxima,minima,abertura,fechamento,variacao
2019-01-01,42.38999938964844,37.060001373291016,37.060001373291016,41.70000076293945,0.1252023534190278
2019-02-01,42.5099983215332,39.93000030517578,41.720001220703125,40.20000076293945,-0.03643337519868976
2019-03-01,42.95000076293945,38.70000076293945,40.54999923706055,40.279998779296875,-0.006658457776662689
2019-04-01,41.90999984741211,38.63999938964844,40.02000045776367,41.79999923706055,0.044477730108360466
2019-05-01,45.04999923706055,41.0099983215332,41.79999923706055,45.0099983215332,0.07679423787229689
2019-06-01,46.189998626708984,43.54999923706055,45.150001525878906,46.0,0.01882610067319477
2019-07-01,49.599998474121094,44.970001220703125,46.0,49.400001525878906,0.07391307664954144
2019-08-01,51.0,45.369998931884766,49.400001525878906,47.25,-0.043522296750387685
2019-09-01,51.36000061035156,45.029998779296875,47.2599983215332,49.779998779296875,0.05332205982359244
2019-10-01,50.16999816894531,45.310001373291016,49.95000076293945,48.0,-0.03903905371681719
2019-11-01,49.029998779296875,44.84000015258789,48.209999084472656,45.86000061035156,-0.0487450429111909
2019-12-01,54.5099983215332,45.119998931884766,45.97999954223633,54.2400016784668,0.17964337143246364
