datas,variacao_carteira,variacao_benchmark
abr22,-0.013613602059390556,0.013074891042574643
mai22,-0.0011169445470380294,-0.0267091116978835
jun22,-0.02320800334573745,-0.018069641649763355
jul22,-0.022649606785140317,-0.04393107366029162
ago22,-0.02302084065336735,-0.028817847079053268
set22,0.03302761803374906,-0.0254088026993956
out22,0.053606318536329606,0.01726778867651676
nov22,0.02940531436065247,-0.001812577632607996
dez22,-0.03463235213454371,0.031723502304147465
jan23,-0.018620131385080698,0.004010934038447795
