datas,variacao_carteira,variacao_benchmark
jan21,-0.042620041607170416,-0.02534782900927544
fev21,-0.07185971671317408,-0.04394706889211333
mar21,0.04608454639719356,0.05996219419099204
abr21,0.027348473928108966,0.019289461952607934
mai21,0.07777304638257021,0.061075568931745004
jun21,0.010170067052285438,0.004626915336956694
jul21,-0.04645448391983957,-0.039439441018280466
ago21,-0.04594569513549955,-0.024810554748241013
set21,-0.10767928337053183,-0.06577828659937875
out21,-0.07573801004285474,-0.06739052081456118
nov21,-0.005873392991210213,-0.015447185887899222
dez21,0.011301175544329842,0.02851367793084501
