data,maxima,minima,abertura,fechamento_adj,variacao
2021-01-01,14.789999961853027,12.380000114440918,14.510000228881836,9.941808700561523,-0.31483056211311616
2021-02-01,15.380000114440918,13.029999732971191,13.479999542236328,10.3981294631958,-0.22862538454724948
2021-03-01,17.899999618530273,14.050000190734863,14.170000076293945,13.173457145690918,-0.0703276588029254
2021-04-01,21.209999084472656,17.329999923706055,17.6200008392334,14.505017280578613,-0.1767867996759023
2021-05-01,20.75,16.959999084472656,19.389999389648438,13.896480560302734,-0.2833171223449588
2021-06-01,19.770000457763672,17.700000762939453,18.40999984741211,14.478967666625977,-0.21352700778749423
2021-07-01,20.520000457763672,18.350000381469727,19.15999984741211,14.834511756896973,-0.22575616518594957
2021-08-01,21.360000610351562,18.6299991607666,20.0,15.500208854675293,-0.22498955726623535
2021-09-01,25.690000534057617,20.510000228881836,20.549999237060547,19.41119384765625,-0.05541632270966403
2021-10-01,28.059999465942383,24.399999618530273,25.649999618530273,21.34746742248535,-0.1677400491240808
2021-11-01,27.489999771118164,22.81999969482422,26.950000762939453,18.987163543701172,-0.29546704986325834
2021-12-01,24.309999465942383,20.190000534057617,23.829999923706055,17.92381477355957,-0.24784662899939913
