data,maxima,minima,abertura,fechamento_adj,variacao
2021-01-01,30.045000076293945,19.342500686645508,20.11750030517578,25.55500030517578,0.27028705940176145
2021-02-01,35.060001373291016,25.899999618530273,26.299999237060547,28.780000686645508,0.09429663579952793
2021-03-01,29.809999465942383,20.899999618530273,29.280000686645508,22.850000381469727,-0.219603830409351
2021-04-01,29.799999237060547,23.200000762939453,23.5,28.770000457763672,0.22425533862824135
2021-05-01,29.389999389648438,21.899999618530273,28.700000762939453,26.15999984741211,-0.08850177170752092
2021-06-01,28.350000381469727,23.510000228881836,26.350000381469727,27.059999465942383,0.02694493640204853
2021-07-01,28.239999771118164,24.670000076293945,27.06999969482422,24.90999984741211,-0.07979312418777386
2021-08-01,26.479999542236328,21.350000381469727,25.260000228881836,24.489999771118164,-0.030482994884666194
2021-09-01,25.829999923706055,21.610000610351562,24.549999237060547,22.8799991607666,-0.06802444514022314
2021-10-01,23.5,18.299999237060547,22.8799991607666,18.299999237060547,-0.20017482918266857
2021-11-01,22.59000015258789,12.119999885559082,18.600000381469727,13.1899995803833,-0.29086025215763683
2021-12-01,15.899999618530273,11.34000015258789,13.680000305175781,13.260000228881836,-0.030701759278107598
