data,maxima,minima,abertura,fechamento_adj,variacao
2021-01-01,23.690000534057617,20.059999465942383,23.530000686645508,20.42184066772461,-0.13209349461196318
2021-02-01,23.0,19.200000762939453,21.510000228881836,18.95763397216797,-0.11865951787795717
2021-03-01,25.09000015258789,18.649999618530273,19.549999237060547,23.591079711914062,0.20670489169088657
2021-04-01,24.700000762939453,22.75,24.600000381469727,22.184669494628906,-0.09818418086937104
2021-05-01,25.920000076293945,22.899999618530273,23.030000686645508,24.7181339263916,0.07330148455987663
2021-06-01,28.40999984741211,22.649999618530273,25.84000015258789,22.637418746948242,-0.12393890815511115
2021-07-01,25.31999969482422,22.440000534057617,23.440000534057617,22.492923736572266,-0.04040429931344402
2021-08-01,24.329999923706055,20.93000030517578,23.709999084472656,20.325511932373047,-0.14274514056460097
2021-09-01,21.459999084472656,18.68000030517578,21.18000030517578,18.331491470336914,-0.1344905001792079
2021-10-01,20.729999542236328,16.709999084472656,19.219999313354492,17.840211868286133,-0.07178915163174078
2021-11-01,21.950000762939453,18.59000015258789,18.790000915527344,18.880569458007812,0.004820039279807929
2021-12-01,21.3700008392334,18.229999542236328,19.969999313354492,17.96544075012207,-0.10037849935687869
