data,maxima,minima,abertura,fechamento_adj,variacao
2021-01-01,21.100000381469727,17.889999389648438,18.950000762939453,17.545269012451172,-0.07412832157957046
2021-02-01,20.540000915527344,16.780000686645508,19.31999969482422,15.694039344787598,-0.18767911010930333
2021-03-01,18.579999923706055,15.609999656677246,17.020000457763672,16.981660842895508,-0.002252621259517972
2021-04-01,19.290000915527344,17.110000610351562,18.219999313354492,16.188562393188477,-0.11149489553915942
2021-05-01,17.950000762939453,16.579999923706055,17.399999618530273,16.479236602783203,-0.05291741585824497
2021-06-01,18.219999313354492,16.15999984741211,17.5,15.474752426147461,-0.11572843279157366
2021-07-01,16.90999984741211,14.3100004196167,16.360000610351562,13.588973999023438,-0.16937814840757381
2021-08-01,14.75,12.300000190734863,14.550000190734863,12.973016738891602,-0.10838374097393152
2021-09-01,14.369999885559082,12.270000457763672,13.699999809265137,11.64633846282959,-0.1499022901479664
2021-10-01,13.029999732971191,9.859999656677246,12.479999542236328,9.618415832519531,-0.2292935748941559
2021-11-01,12.800000190734863,10.199999809265137,10.380000114440918,10.509184837341309,0.012445541568026148
2021-12-01,12.529999732971191,10.859999656677246,11.130000114440918,11.399953842163086,0.0242546024210646
