datas,variacao_carteira,variacao_benchmark
abr21,-0.03218119668917584,-0.011925174033812285
mai21,-0.012116863051547909,0.020891534070205272
jun21,0.034234113079985216,0.029347022377848225
jul21,-0.016370235746554655,-0.004838336801083259
ago21,-0.013881451967590702,-0.013606119435180116
set21,0.007872361917104052,0.025951862531630676
out21,0.031045467893970714,-0.0012864845376030414
nov21,0.004101344378059833,0.005841811617984903
dez21,0.006773513524071363,0.0242185460715218
jan22,0.043092220707651514,0.03217559592548642
