datas,variacao_carteira,variacao_benchmark
jan21,-0.016433876948624578,-0.016350776467333034
fev21,-0.03136383370285621,-0.08429074990550364
mar21,0.021042476352706188,-0.2996355265681949
abr21,0.03977802576177408,0.10265576419991508
mai21,0.05376958774105211,0.08573806536564763
jun21,-0.01600042351630057,0.08765947708678987
jul21,-0.06247453888684541,0.08257768614167596
ago21,-0.08481064639648361,-0.03443685443044125
set21,-0.14836766413424557,-0.04808717876476626
out21,-0.05472731926240052,-0.006891886178174284
nov21,-0.02125919096780026,0.1587774561552869
dez21,0.0482037668555391,0.09558573698081674
