datas,variacao_carteira,variacao_benchmark
jan21,-0.05499606497128036,-0.016350776467333034
fev21,-0.07754110191925367,-0.08429074990550364
mar21,0.07228391040614571,-0.2996355265681949
abr21,-0.015252878907339017,0.10265576419991508
mai21,0.06608935109242545,0.08573806536564763
jun21,-0.030387995388810613,0.08765947708678987
jul21,-0.06683472264253396,0.08257768614167596
ago21,-0.07200117783608428,-0.03443685443044125
set21,-0.11343318691827049,-0.04808717876476626
out21,-0.053427398106913396,-0.006891886178174284
nov21,-0.027298357103509786,0.1587774561552869
dez21,-0.01271970233607311,0.09558573698081674
