data,maxima,minima,abertura,fechamento,variacao
2020-09-28,22.290000915527344,21.56999969482422,21.889999389648438,21.850000381469727,-0.0018272731518497014
2020-10-05,22.469999313354492,21.360000610351562,21.850000381469727,21.6200008392334,-0.01052629465541718
2020-10-12,23.020000457763672,21.469999313354492,21.6200008392334,22.799999237060547,0.05457901720733646
2020-10-19,23.649999618530273,22.239999771118164,22.959999084472656,23.280000686645508,0.01393735256676302
2020-10-26,23.639999389648438,21.049999237060547,23.229999542236328,21.049999237060547,-0.09384418201180536
2020-11-02,22.440000534057617,21.049999237060547,21.049999237060547,22.389999389648438,0.06365796680071567
2020-11-09,24.1200008392334,22.010000228881836,23.239999771118164,23.450000762939453,0.009036187344643211
2020-11-16,25.18000030517578,23.280000686645508,23.600000381469727,25.06999969482422,0.062288105491248545
2020-11-23,27.1299991607666,24.989999771118164,25.139999389648438,27.049999237060547,0.07597453833664629
2020-11-30,27.360000610351562,25.260000228881836,27.049999237060547,25.399999618530273,-0.060998139189211105
