Data,Ibovespa,MAD,MinMax,MADD,DMinMax
JAN 21,-0.0332,-0.0736797988614392,-0.0590138621381794,-0.0407916428290265,-0.04436551015701
FEV 21,-0.0437,-0.0897919468420961,-0.0488201921185631,-0.0812175615991893,-0.0322685743041197
MAR 21,0.06,0.0934920204760744,0.0972998526741155,0.0779132769087944,0.103501269163824
ABR 21,0.0194,-0.0130006848271714,0.00474727788026005,-0.00844633703534988,0.0106674367891297
MAI 21,0.0616,0.0815283275896553,0.0687048831125363,0.0783482665420648,0.0698913604356292
JUN 21,0.0046,0.0106484076985372,-0.0108489436546723,0.0121825514421746,-0.0201553166563077
JUL 21,-0.0394,-0.0285438732115562,-0.0315386460499903,-0.0717606969820376,-0.0510485964920076
AGO 21,-0.0248,-0.0111068231478272,-0.0396135166926189,-0.0473376482847516,-0.0658365506088654
SET 21,-0.0657,-0.068748837801398,-0.0979070900654278,-0.0749448325479601,-0.111610517956276
OUT 21,-0.0674,-0.0359876779825953,-0.0486766360468073,-0.0403076919035296,-0.0542423261558887
NOV 21,-0.0153,-0.0162454593806332,-0.0307997866638121,-0.0018851033164904,-0.0244045065891601
DEZ 21,0.0285,-0.030219352186486,0.000120988072709473,0.00752425354337059,0.0241215642065668
