Data,MAD,MinMax,MADD,DMinMax
JAN 20,-0.027168447965277,-0.0249010572314293,-0.0162999997821237,-0.0183616460049158
FEV 20,-0.0709358816300528,-0.0559542546006972,-0.084299999573919,-0.0863616460049138
MAR 20,-0.298999999999521,-0.315198239326737,-0.190363414220536,-0.197136145938205
ABR 20,0.102499999999941,0.0691110753164969,0.102500000623543,0.100438353995085
MAI 20,0.0940166502098164,0.0641012119898111,0.159108019886311,0.151837206436908
JUN 20,0.106438413049592,0.120988924749407,0.0945926628900462,0.0940877029404732
JUL 20,0.0865855523781935,0.0960328927628086,0.0874777599285862,0.0882449115803449
AGO 20,-0.0514625212000331,-0.0663621309393329,-0.0343999993637625,-0.0342924024035725
SET 20,-0.059907091230959,-0.0658431334629382,-0.0246382901568959,-0.0269217619107374
OUT 20,-0.00690000000095027,-0.00146143801820111,-0.0107157119796286,-0.00896164600491637
NOV 20,0.220343046027575,0.192388924746687,0.246351488754809,0.244544888367086
DEZ 20,0.126991183145015,0.126388924747657,0.121199956783817,0.122594483313221
