datas,variacao_carteira,variacao_benchmark
jan21,-0.054996064971280394,-0.02534782900927544
fev21,-0.07754110191925367,-0.04394706889211333
mar21,0.07228391040614573,0.05996219419099204
abr21,-0.015252878907339038,0.01928946195260793
mai21,0.06608935109242547,0.06107556893174501
jun21,-0.030387995388810634,0.004626915336956694
jul21,-0.06683472264253397,-0.03943944101828047
ago21,-0.0720011778360843,-0.024810554748241013
set21,-0.1134331869182705,-0.06577828659937875
out21,-0.05342739810691341,-0.06739052081456118
nov21,-0.027298357103509793,-0.015447185887899222
dez21,-0.012719702336073141,0.028513677930845013
