datas,variacao_carteira,variacao_benchmark
2021-01-01,-0.06754746982912588,-0.02534782900927544
2021-02-01,-0.059924450445913956,-0.04394706889211333
2021-03-01,0.09429568219730185,0.05996219419099204
2021-04-01,0.008253654896325518,0.01928946195260793
2021-05-01,0.07396999165426586,0.06107556893174501
2021-06-01,-0.025893644779709787,0.004626915336956694
2021-07-01,-0.03295873331019545,-0.03943944101828047
2021-08-01,-0.05346205616438315,-0.024810554748241013
2021-09-01,-0.11946289402605613,-0.06577828659937875
2021-10-01,-0.0899046685245972,-0.06739052081456118
2021-11-01,-0.0288734325518391,-0.015447185887899222
2021-12-01,-0.01584855293607693,0.028513677930845013
