datas,variacao_carteira,variacao_benchmark
2021-01-01,-0.07795170649615749,-0.02534782900927544
2021-02-01,-0.10541424969033315,-0.04394706889211333
2021-03-01,0.0996881197754846,0.05996219419099204
2021-04-01,-0.02646816804950341,0.01928946195260793
2021-05-01,0.08483444410876478,0.06107556893174501
2021-06-01,-0.012265157553961157,0.004626915336956694
2021-07-01,-0.05013333874595266,-0.03943944101828047
2021-08-01,-0.03843851387557293,-0.024810554748241013
2021-09-01,-0.07726477431131898,-0.06577828659937875
2021-10-01,-0.06685542107515821,-0.06739052081456118
2021-11-01,-0.014403158791418628,-0.015447185887899222
2021-12-01,-0.046272151853132854,0.028513677930845013
