,datas,variacao_carteira,variacao_benchmark
0,2021-03-29,-0.0196947983922903,-0.0119251740338122
1,2021-04-05,0.0190240142241972,0.0208915340702052
2,2021-04-12,0.0338306790854492,0.0293470223778482
3,2021-04-19,-0.0175058111598419,-0.0048383368010832
4,2021-04-26,-0.0207172143182977,-0.0136061194351801
5,2021-05-03,0.035432378826648,0.0259518625316306
6,2021-05-10,-0.0275659012946123,-0.001286484537603
7,2021-05-17,-0.0201322422652181,0.0058418116179849
8,2021-05-24,0.0199853597697289,0.0242185460715218
9,2021-05-31,0.0115589282280034,0.0321755959254864
0,2021-09-27,0.0210329653107832,0.0173004144890971
1,2021-10-04,-0.010375405898469,-0.000593445527015
2,2021-10-11,0.0151342378230083,0.0160767144654979
3,2021-10-18,-0.0422260047502998,-0.0728409814473994
4,2021-10-25,-0.0218915483007195,-0.0263128186795612
5,2021-11-01,-0.0241770086503539,0.0126552930038448
6,2021-11-08,0.0173648712842765,0.014195222468137
7,2021-11-15,-0.033332726833625,-0.031043108636774
8,2021-11-22,0.0214963873649839,-0.0078807407119841
9,2021-11-29,-0.0054470162242466,0.0219022371780449
