,datas,variacao_carteira,variacao_benchmark
0,2021-03-29,-0.0285597270276953,-0.0119251740338122
1,2021-04-05,0.0033673925649045,0.0208915340702052
2,2021-04-12,0.0161542203443342,0.0293470223778482
3,2021-04-19,-0.0237389517332953,-0.0048383368010832
4,2021-04-26,-0.0287929203899239,-0.0136061194351801
5,2021-05-03,0.0174630401756031,0.0259518625316306
6,2021-05-10,0.0202780022263657,-0.001286484537603
7,2021-05-17,-0.0157135845186625,0.0058418116179849
8,2021-05-24,0.0082449876183147,0.0242185460715218
9,2021-05-31,0.009886173239348,0.0321755959254864
0,2021-09-27,0.0226997932297379,0.0173004144890971
1,2021-10-04,0.0054998609301228,-0.000593445527015
2,2021-10-11,0.0179039140354439,0.0160767144654979
3,2021-10-18,-0.0502454420248323,-0.0728409814473994
4,2021-10-25,-0.0435440776620519,-0.0263128186795612
5,2021-11-01,-0.0323351577950829,0.0126552930038448
6,2021-11-08,0.052671358349094,0.014195222468137
7,2021-11-15,-0.0334039487828893,-0.031043108636774
8,2021-11-22,0.01417329721825,-0.0078807407119841
9,2021-11-29,-0.009769589629638,0.0219022371780449
