,datas,variacao_carteira,variacao_benchmark
0,2021-03-29,-0.0323435925217128,-0.0119251740338122
1,2021-04-05,-0.0113209584910055,0.0208915340702052
2,2021-04-12,0.0295214827490971,0.0293470223778482
3,2021-04-19,-0.017744534678361,-0.0048383368010832
4,2021-04-26,-0.0155113851354135,-0.0136061194351801
5,2021-05-03,0.0089106941596324,0.0259518625316306
6,2021-05-10,0.0279031963125389,-0.001286484537603
7,2021-05-17,0.0051469113812957,0.0058418116179849
8,2021-05-24,0.0094598999162938,0.0242185460715218
9,2021-05-31,0.037197806112845,0.0321755959254864
0,2021-09-27,0.0262644536541477,0.0173004144890971
1,2021-10-04,-0.0099075655958287,-0.000593445527015
2,2021-10-11,0.0257606448954479,0.0160767144654979
3,2021-10-18,-0.0448509832398,-0.0728409814473994
4,2021-10-25,-0.0409474346532508,-0.0263128186795612
5,2021-11-01,-0.0110566224206219,0.0126552930038448
6,2021-11-08,0.051496446912667,0.014195222468137
7,2021-11-15,-0.0254575719919905,-0.031043108636774
8,2021-11-22,-0.0048440171719255,-0.0078807407119841
9,2021-11-29,-0.0142947775205259,0.0219022371780449
