,datas,variacao_carteira,variacao_benchmark
0,2021-03-29,-0.0321811966891758,-0.0119251740338122
1,2021-04-05,-0.0121168630515479,0.0208915340702052
2,2021-04-12,0.0342341130799852,0.0293470223778482
3,2021-04-19,-0.0163702357465546,-0.0048383368010832
4,2021-04-26,-0.0138814519675906,-0.0136061194351801
5,2021-05-03,0.007872361917104,0.0259518625316306
6,2021-05-10,0.0310454678939707,-0.001286484537603
7,2021-05-17,0.0041013443780598,0.0058418116179849
8,2021-05-24,0.0067735135240713,0.0242185460715218
9,2021-05-31,0.0430922207076515,0.0321755959254864
0,2021-09-27,0.0231877612842143,0.0173004144890971
1,2021-10-04,-0.0132735075137843,-0.000593445527015
2,2021-10-11,0.0207245458531921,0.0160767144654979
3,2021-10-18,-0.0422269769296498,-0.0728409814473994
4,2021-10-25,-0.0293190284000725,-0.0263128186795612
5,2021-11-01,-0.015917589803252,0.0126552930038448
6,2021-11-08,0.0298202887196317,0.014195222468137
7,2021-11-15,-0.0305672673164653,-0.031043108636774
8,2021-11-22,0.0079163868633222,-0.0078807407119841
9,2021-11-29,-0.0090878999883479,0.0219022371780449
