data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,39.0,29.850000381469727,29.850000381469727,25.739452362060547,-0.13770679956040885
2020-02-01,35.099998474121094,26.030000686645508,32.45000076293945,21.93768310546875,-0.32395431156589144
2020-03-01,29.729999542236328,10.0,27.100000381469727,14.048601150512695,-0.481601440857589
2020-04-01,23.40999984741211,15.479999542236328,16.149999618530273,17.246658325195312,0.0679045654841223
2020-05-01,29.700000762939453,19.40999984741211,21.139999389648438,22.631139755249023,0.07053644317183606
2020-06-01,29.75,22.639999389648438,27.649999618530273,18.943584442138672,-0.31487939589542707
2020-07-01,25.790000915527344,22.799999237060547,23.450000762939453,18.600936889648438,-0.20678310087539573
2020-08-01,25.850000381469727,21.239999771118164,23.06999969482422,17.369033813476562,-0.24711599292420774
2020-09-01,22.889999389648438,19.700000762939453,21.299999237060547,16.961116790771484,-0.2037034085306305
2020-10-01,25.479999542236328,20.360000610351562,20.850000381469727,18.633569717407227,-0.10630362702690094
2020-11-01,25.670000076293945,21.6299991607666,22.84000015258789,18.43777084350586,-0.1927420875513101
2020-12-01,24.420000076293945,21.040000915527344,22.90999984741211,19.2291259765625,-0.16066669119883897
