data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,42.470001220703125,36.79999923706055,37.79999923706055,32.03481674194336,-0.15251805850474157
2020-02-01,39.779998779296875,32.11000061035156,39.119998931884766,28.20403289794922,-0.27903799417127506
2020-03-01,36.5,14.800000190734863,34.84000015258789,19.488798141479492,-0.44062003283223644
2020-04-01,28.56999969482422,20.280000686645508,22.530000686645508,19.807348251342773,-0.12084564368950804
2020-05-01,29.549999237060547,19.540000915527344,24.25,22.84583854675293,-0.05790356508235341
2020-06-01,32.310001373291016,28.209999084472656,28.6299991607666,27.098451614379883,-0.053494501965808294
2020-07-01,41.33000183105469,31.25,31.25,32.29086685180664,0.0333077392578125
2020-08-01,39.5,30.600000381469727,37.36000061035156,32.36421585083008,-0.13372014662487108
2020-09-01,38.5,29.719999313354492,36.099998474121094,27.63399314880371,-0.23451539288530399
2020-10-01,34.900001525878906,29.360000610351562,30.389999389648438,28.308435440063477,-0.06849503097699934
2020-11-01,35.63999938964844,30.780000686645508,31.059999465942383,28.308435440063477,-0.08858866945236188
2020-12-01,39.400001525878906,30.850000381469727,31.489999771118164,33.42145538330078,0.06133552322074323
