data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,10.850000381469727,9.279999732971191,9.279999732971191,7.151064395904541,-0.22941114206099508
2020-02-01,10.479999542236328,7.449999809265137,9.600000381469727,5.9654741287231445,-0.37859646961703025
2020-03-01,8.729999542236328,3.7100000381469727,8.100000381469727,3.489239454269409,-0.5692297172909152
2020-04-01,5.650000095367432,4.070000171661377,4.510000228881836,3.874173164367676,-0.14098160360222436
2020-05-01,6.380000114440918,4.880000114440918,5.150000095367432,4.641484260559082,-0.09874093696925826
2020-06-01,7.489999771118164,6.110000133514404,6.25,5.499068260192871,-0.12014907836914063
2020-07-01,8.300000190734863,7.0,7.349999904632568,6.048222541809082,-0.17711256866860642
2020-08-01,9.359999656677246,7.880000114440918,8.109999656677246,6.612423419952393,-0.18465799015069584
2020-09-01,9.75,8.65999984741211,8.819999694824219,7.071305274963379,-0.1982646803136529
2020-10-01,10.680000305175781,9.130000114440918,9.399999618530273,7.37221097946167,-0.21572220440000997
2020-11-01,10.649999618530273,9.359999656677246,9.800000190734863,7.718255519866943,-0.212422921464435
2020-12-01,11.470000267028809,10.260000228881836,10.40999984741211,8.529519081115723,-0.18064176694141526
