data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,37.970001220703125,31.329999923706055,33.20000076293945,35.390689849853516,0.0659846095352952
2020-02-01,37.59000015258789,29.43000030517578,37.5,31.14459800720215,-0.1694773864746094
2020-03-01,34.189998626708984,15.760000228881836,30.459999084472656,22.904937744140625,-0.24803222480014167
2020-04-01,29.56999969482422,21.739999771118164,22.489999771118164,27.088354110717773,0.2044621781412756
2020-05-01,27.40999984741211,22.149999618530273,27.389999389648438,24.556547164916992,-0.10344842233922423
2020-06-01,30.690000534057617,24.510000228881836,24.889999389648438,28.95754051208496,0.16342069996707928
2020-07-01,31.8700008392334,27.899999618530273,29.030000686645508,31.113529205322266,0.07177156284516488
2020-08-01,38.0099983215332,30.25,31.5,36.83976364135742,0.16951630607483878
2020-09-01,39.400001525878906,33.84000015258789,37.310001373291016,37.77930450439453,0.012578480670855029
2020-10-01,43.29999923706055,38.08000183105469,38.189998626708984,40.073753356933594,0.049325865356464445
2020-11-01,43.63999938964844,37.209999084472656,40.52000045776367,39.70783233642578,-0.020043635542019805
2020-12-01,42.779998779296875,38.2599983215332,40.459999084472656,41.537452697753906,0.02663009485076199
