data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,50.150001525878906,37.5,38.66999816894531,47.286407470703125,0.22281897361653838
2020-02-01,51.290000915527344,42.26670455932617,47.97999954223633,45.225650787353516,-0.05740618551815921
2020-03-01,45.95641326904297,20.438404083251953,44.64651870727539,25.579174041748047,-0.42707349234869274
2020-04-01,36.85712432861328,21.81829833984375,23.99812889099121,35.29806900024414,0.4708675480735032
2020-05-01,39.349998474121094,31.459999084472656,35.51722717285156,36.95058059692383,0.0403565688587279
2020-06-01,43.900001525878906,36.349998474121094,36.9900016784668,39.6537971496582,0.07201393215243072
2020-07-01,48.79999923706055,38.90999984741211,39.900001525878906,46.74974060058594,0.17167265194875572
2020-08-01,52.7599983215332,45.060001373291016,47.439998626708984,49.035545349121094,0.03363294200252796
2020-09-01,54.599998474121094,48.02000045776367,49.81999969482422,50.81450271606445,0.019961923471138697
2020-10-01,50.560001373291016,45.849998474121094,49.5,45.81553649902344,-0.0744336060803346
2020-11-01,52.04999923706055,45.2400016784668,46.099998474121094,50.09894561767578,0.08674506021512246
2020-12-01,53.27000045776367,46.38999938964844,50.70000076293945,52.176048278808594,0.029113362794031705
