data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,32.869998931884766,30.010000228881836,30.530000686645508,27.728471755981445,-0.09176314666411103
2020-02-01,34.09000015258789,28.440000534057617,31.0,26.716201782226562,-0.13818703928301412
2020-03-01,32.150001525878906,17.15999984741211,30.049999237060547,18.540271759033203,-0.3830192269633219
2020-04-01,25.25,18.979999542236328,19.899999618530273,20.885284423828125,0.04951180021030676
2020-05-01,25.0,19.25,22.799999237060547,21.389097213745117,-0.06188166975997355
2020-06-01,27.190000534057617,23.100000381469727,23.350000381469727,22.524965286254883,-0.035333408211401206
2020-07-01,26.600000381469727,23.829999923706055,24.90999984741211,23.459306716918945,-0.05823738014369663
2020-08-01,27.239999771118164,23.920000076293945,25.690000534057617,23.908157348632812,-0.06935940632085968
2020-09-01,29.809999465942383,25.719999313354492,26.510000228881836,24.256242752075195,-0.08501536994900666
2020-10-01,28.790000915527344,26.059999465942383,26.610000610351562,25.053180694580078,-0.0585050687734996
2020-11-01,29.5,26.229999542236328,27.350000381469727,24.32952308654785,-0.11043792514782998
2020-12-01,28.06999969482422,25.649999618530273,26.549999237060547,24.75089454650879,-0.06776289048025387
