data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,51.54999923706055,41.720001220703125,49.29999923706055,34.319732666015625,-0.3038593671981992
2020-02-01,43.41999816894531,37.61000061035156,42.43000030517578,33.27859115600586,-0.21568251433770544
2020-03-01,39.790000915527344,23.34000015258789,39.75,23.116077423095703,-0.41846346105419613
2020-04-01,29.110000610351562,22.739999771118164,25.700000762939453,23.116077423095703,-0.10054176121153593
2020-05-01,27.0,21.8700008392334,27.0,21.55788230895996,-0.2015599144829644
2020-06-01,32.970001220703125,25.219999313354492,25.489999771118164,24.23135757446289,-0.049377881834326155
2020-07-01,31.899999618530273,28.079999923706055,28.309999465942383,25.952287673950195,-0.08328194406462537
2020-08-01,31.049999237060547,28.010000228881836,30.200000762939453,24.698341369628906,-0.18217414749412922
2020-09-01,30.770000457763672,26.440000534057617,28.700000762939453,24.348268508911133,-0.15162829750331394
2020-10-01,36.27000045776367,27.229999542236328,28.0,27.735782623291016,-0.009436334882463728
2020-11-01,41.34000015258789,31.540000915527344,31.850000381469727,34.084102630615234,0.07014449677825764
2020-12-01,46.599998474121094,40.099998474121094,40.29999923706055,39.676029205322266,-0.01548312763153772
