data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,17.15999984741211,15.489999771118164,15.670000076293945,15.079376220703125,-0.03769137541258434
2020-02-01,17.6200008392334,15.569999694824219,16.780000686645508,14.611087799072266,-0.12925582829680027
2020-03-01,17.40999984741211,11.8100004196167,15.699999809265137,11.268564224243164,-0.2822570470610339
2020-04-01,14.609999656677246,11.699999809265137,12.010000228881836,11.558432579040527,-0.037599304016279006
2020-05-01,14.65999984741211,12.180000305175781,12.760000228881836,12.337448120117188,-0.03311536843143747
2020-06-01,15.1899995803833,13.260000228881836,13.380000114440918,12.862832069396973,-0.03865231992679659
2020-07-01,17.5,14.020000457763672,14.199999809265137,14.26687240600586,0.004709337861898421
2020-08-01,15.9399995803833,14.229999542236328,15.670000076293945,12.971529960632324,-0.17220613289874512
2020-09-01,15.520000457763672,12.90999984741211,14.800000190734863,11.830182075500488,-0.2006633835784373
2020-10-01,13.800000190734863,11.699999809265137,13.010000228881836,10.734123229980469,-0.17493289460894734
2020-11-01,14.199999809265137,11.420000076293945,11.850000381469727,12.419783592224121,0.04808296982381411
2020-12-01,15.140000343322754,13.579999923706055,13.579999923706055,13.48775577545166,-0.006792647185024476
