data,maxima,minima,abertura,fechamento_adj,variacao
2020-01-01,21.950000762939453,18.40999984741211,18.489999771118164,19.618017196655273,0.06100689234724061
2020-02-01,22.139999389648438,18.489999771118164,20.899999618530273,18.12697410583496,-0.13268064896215137
2020-03-01,22.65999984741211,11.739999771118164,19.790000915527344,15.226710319519043,-0.2305856687670953
2020-04-01,18.31999969482422,15.25,15.989999771118164,16.719341278076172,0.045612352557713995
2020-05-01,23.420000076293945,17.3799991607666,17.809999465942383,18.36217498779297,0.031003679865712373
2020-06-01,21.110000610351562,18.700000762939453,19.700000762939453,19.41358757019043,-0.014538740185626647
2020-07-01,21.899999618530273,19.829999923706055,20.360000610351562,19.498077392578125,-0.04233414498697082
2020-08-01,26.770000457763672,20.260000228881836,20.850000381469727,24.173107147216797,0.15938161654425942
2020-09-01,26.31999969482422,23.510000228881836,25.889999389648438,22.34252166748047,-0.13702115897253947
2020-10-01,26.329999923706055,23.329999923706055,23.770000457763672,22.3331356048584,-0.06044866744779426
2020-11-01,25.299999237060547,22.649999618530273,23.790000915527344,23.478424072265625,-0.013096966425854891
2020-12-01,26.549999237060547,23.5,25.219999313354492,24.924118041992188,-0.011732009493181456
