data,maxima,minima,abertura,fechamento,variacao
2020-01-01,64.8499984741211,56.349998474121094,60.560001373291016,61.0,0.007265498955273116
2020-02-01,66.7699966430664,55.95000076293945,61.0,58.75,-0.036885245901639344
2020-03-01,62.86000061035156,28.3700008392334,58.25,39.11000061035156,-0.32858368050898606
2020-04-01,43.959999084472656,33.150001525878906,37.560001373291016,40.08000183105469,0.06709266149163798
2020-05-01,54.7400016784668,37.59000015258789,40.08000183105469,54.31999969482422,0.3552893516271282
2020-06-01,61.36000061035156,52.0,53.709999084472656,57.70000076293945,0.07428787463190054
2020-07-01,63.880001068115234,56.0,58.7400016784668,60.849998474121094,0.035920952253356675
2020-08-01,61.290000915527344,47.75,60.790000915527344,47.75,-0.2145089771202255
2020-09-01,50.599998474121094,45.709999084472656,47.9900016784668,46.79999923706055,-0.024796882679422916
2020-10-01,47.709999084472656,42.06999969482422,46.65999984741211,42.5,-0.08915559067758622
2020-11-01,47.52000045776367,41.959999084472656,42.5,44.540000915527344,0.04800002154181985
2020-12-01,48.83000183105469,42.84000015258789,45.47999954223633,44.439998626708984,-0.022867214731643007
