datas,variacao_carteira,variacao_benchmark
jan20,-0.01635077646733304,-0.016350776467333034
fev20,-0.08763784749014439,-0.08429074990550364
mar20,-0.15851763186436957,-0.2996355265681949
abr20,0.10265576419991507,0.10265576419991508
mai20,0.15435164543030588,0.08573806536564763
jun20,0.10676108722647648,0.08765947708678988
jul20,0.09226345427138752,0.08257768614167596
ago20,-0.050578152084523875,-0.03443685443044125
set20,-0.04808717876476627,-0.048087178764766265
out20,-0.00845709497468704,-0.006891886178174284
nov20,0.23290235283085814,0.1587774561552869
dez20,0.09596824851265665,0.09558573698081674
