DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 21,11.14,11.15,12.46,10.85,708.29M,0.0027
NOV 21,11.11,11.95,13.39,10.96,743.77M,-0.0672
OUT 21,11.91,12.81,13.39,11.72,1.15B,-0.06509999999999999
SET 21,12.74,13.99,14.33,12.56,1.06B,-0.09449999999999999
AGO 21,14.07,15.50,16.28,13.40,812.80M,-0.0774
JUL 21,15.25,16.70,17.25,15.25,668.78M,-0.0933
JUN 21,16.82,17.48,17.73,15.51,1.26B,-0.040999999999999995
MAI 21,17.54,17.34,18.02,16.71,777.21M,0.0215
ABR 21,17.17,18.33,18.93,17.13,668.09M,-0.0571
MAR 21,18.21,17.95,18.76,16.88,1.28B,0.0271
FEV 21,17.73,19.73,20.93,17.61,813.79M,-0.0922
JAN 21,19.53,20.29,20.85,18.55,654.82M,-0.0264
