DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 21,28.45,27.55,30.10,26.20,1.44B,-0.0333
NOV 21,29.43,27.71,29.82,25.72,1.66B,0.08
OUT 21,27.25,27.12,30.22,25.77,1.74B,0.0007000000000000001
SET 21,27.23,27.32,27.89,23.79,1.58B,0.0015
AGO 21,27.19,25.67,28.71,24.34,1.84B,0.0104
JUL 21,26.91,29.74,29.88,25.86,1.21B,-0.08560000000000001
JUN 21,29.43,27.40,29.79,27.01,1.44B,0.0953
MAI 21,26.87,23.80,27.20,22.88,1.58B,0.1376
ABR 21,23.62,23.50,24.89,22.61,1.29B,-0.0199
MAR 21,24.10,22.80,24.23,20.48,2.07B,0.0836
FEV 21,22.24,27.26,30.92,21.40,2.32B,-0.16670000000000001
JAN 21,26.69,28.65,31.76,26.53,1.28B,-0.0582
