DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,29.05,27.31,29.51,27.25,439.25M,0.0672
NOV 19,27.22,28.67,29.71,26.61,361.46M,-0.0388
OUT 19,28.32,27.53,29.34,25.45,452.02M,0.0347
SET 19,27.37,26.49,28.45,25.61,402.47M,0.032400000000000005
AGO 19,26.51,26.88,28.52,25.53,462.44M,-0.0023
JUL 19,26.57,28.06,28.81,26.48,446.53M,-0.0394
JUN 19,27.66,26.85,27.91,25.54,398.78M,0.0363
MAI 19,26.69,25.67,26.99,23.72,431.12M,0.0353
ABR 19,25.78,26.45,26.52,24.39,355.91M,-0.0172
MAR 19,26.23,27.04,28.70,24.87,398.65M,-0.022400000000000003
FEV 19,26.83,28.00,28.86,26.16,495.25M,-0.045899999999999996
JAN 19,28.12,25.70,28.56,25.63,443.65M,0.0929
