DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 21,20.95,22.56,23.77,20.91,587.02M,-0.0639
NOV 21,22.38,23.43,24.57,21.83,854.46M,-0.0391
OUT 21,23.29,24.27,25.36,22.89,890.27M,-0.0336
SET 21,24.10,25.88,26.35,22.38,868.19M,-0.0644
AGO 21,25.76,25.56,26.15,24.32,766.44M,0.025099999999999997
JUL 21,25.13,24.71,25.90,23.73,615.14M,0.017
JUN 21,24.71,24.74,28.47,24.68,876.49M,0.009399999999999999
MAI 21,24.48,22.92,24.80,21.94,714.96M,0.0756
ABR 21,22.76,23.21,23.44,21.87,549.32M,-0.0134
MAR 21,23.07,21.32,23.64,19.69,953.44M,0.0975
FEV 21,21.02,23.72,24.07,20.88,824.26M,-0.0928
JAN 21,23.17,26.10,27.29,22.78,713.57M,-0.10189999999999999
