DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,25.23,22.98,25.57,22.92,499.37M,0.1013
NOV 19,22.91,24.33,24.51,22.47,449.47M,-0.0506
OUT 19,24.13,22.81,25.41,21.15,602.57M,0.0691
SET 19,22.57,22.04,23.65,21.24,462.20M,0.0301
AGO 19,21.91,23.26,23.55,20.85,607.30M,-0.044500000000000005
JUL 19,22.93,25.31,26.54,22.78,526.40M,-0.0806
JUN 19,24.94,24.50,25.30,23.54,402.08M,0.020499999999999997
MAI 19,24.44,23.33,24.69,21.40,466.37M,0.0404
ABR 19,23.49,24.01,24.28,22.26,410.81M,-0.0051
MAR 19,23.61,23.93,25.31,22.00,488.51M,-0.0070999999999999995
FEV 19,23.78,24.86,25.56,23.72,554.57M,-0.0438
JAN 19,24.87,21.23,25.24,21.10,522.22M,0.17149999999999999
