DATA,ULTIMO,ABERTURA,MAXIMA,MINIMA,VOLUME,VARIACAO
DEZ 19,30.18,29.00,30.92,28.34,854.19M,0.0496
NOV 19,28.75,29.98,30.60,27.54,1.12B,-0.0345
OUT 19,29.78,27.05,29.85,25.43,987.36M,0.10310000000000001
SET 19,27.00,24.88,27.67,24.53,970.87M,0.08039999999999999
AGO 19,24.99,25.57,26.14,23.20,1.18B,-0.0146
JUL 19,25.36,27.07,27.94,25.24,817.83M,-0.048499999999999995
JUN 19,26.65,25.16,27.60,24.85,918.37M,0.0728
MAI 19,24.84,25.96,26.61,23.70,1.05B,-0.054000000000000006
ABR 19,26.26,27.49,28.62,24.73,1.43B,-0.0332
MAR 19,27.16,26.27,28.65,25.38,1.23B,0.037000000000000005
FEV 19,26.19,24.68,26.86,23.75,1.11B,0.0579
JAN 19,24.76,21.83,25.13,21.57,1.35B,0.12789999999999999
