data,maxima,minima,abertura,fechamento,variacao
2021-06-28,24.549999237060547,23.260000228881836,23.809999465942383,24.43000030517578,0.02603951504157916
2021-07-05,24.899999618530273,24.100000381469727,24.34000015258789,24.649999618530273,0.012736214626088361
2021-07-12,27.229999542236328,25.200000762939453,25.200000762939453,26.399999618530273,0.047619000764301825
2021-07-19,27.389999389648438,25.6299991607666,26.079999923706055,27.0,0.03527607664820922
2021-07-26,27.290000915527344,24.950000762939453,26.899999618530273,25.549999237060547,-0.05018588849866631
2021-08-02,26.25,23.950000762939453,25.90999984741211,24.200000762939453,-0.06599764934554606
2021-08-09,24.719999313354492,23.479999542236328,24.0,23.59000015258789,-0.01708332697550456
2021-08-16,23.739999771118164,21.75,23.649999618530273,22.530000686645508,-0.04735724946934979
2021-08-23,23.290000915527344,21.760000228881836,22.600000381469727,22.489999771118164,-0.004867283561718636
2021-08-30,22.760000228881836,21.530000686645508,22.489999771118164,22.290000915527344,-0.008892790468039952
