data,maxima,minima,abertura,fechamento,variacao
2021-06-28,9.239999771118164,9.050000190734863,9.1899995803833,9.130000114440918,-0.0065287778761661626
2021-07-05,9.260000228881836,8.760000228881836,9.25,9.0600004196167,-0.020540495176573057
2021-07-12,9.229999542236328,9.069999694824219,9.15999984741211,9.100000381469727,-0.006550160146491041
2021-07-19,9.140000343322754,8.90999984741211,9.0600004196167,9.039999961853027,-0.002207555942311759
2021-07-26,9.5,8.970000267028809,9.039999961853027,9.199999809265137,0.017699098239742965
2021-08-02,9.100000381469727,8.470000267028809,8.989999771118164,8.5,-0.05450498148980693
2021-08-09,8.470000267028809,7.920000076293945,8.399999618530273,8.039999961853027,-0.042857103931658785
2021-08-16,8.039999961853027,6.699999809265137,8.039999961853027,6.809999942779541,-0.15298507772505024
2021-08-23,7.539999961853027,6.650000095367432,6.849999904632568,7.340000152587891,0.07153288390908462
2021-08-30,7.570000171661377,6.800000190734863,7.340000152587891,6.800000190734863,-0.07356947556229104
