data,maxima,minima,abertura,fechamento,variacao
2021-06-28,31.350000381469727,30.40999984741211,31.200000762939453,30.6200008392334,-0.018589740689846413
2021-07-05,30.760000228881836,29.56999969482422,30.549999237060547,29.790000915527344,-0.024877196088805155
2021-07-12,31.170000076293945,29.889999389648438,29.889999389648438,30.299999237060547,0.013716957369831908
2021-07-19,30.170000076293945,27.979999542236328,30.079999923706055,28.209999084472656,-0.06216758124921571
2021-07-26,28.770000457763672,26.860000610351562,28.200000762939453,27.5,-0.024822721418482966
2021-08-02,28.31999969482422,26.5,27.809999465942383,26.940000534057617,-0.03128367308853109
2021-08-09,27.5,25.81999969482422,26.93000030517578,25.8799991607666,-0.038990016060541074
2021-08-16,26.010000228881836,24.170000076293945,25.760000228881836,25.809999465942383,0.001940964154359295
2021-08-23,28.280000686645508,25.1200008392334,26.0,27.959999084472656,0.07538458017202523
2021-08-30,28.040000915527344,25.829999923706055,27.899999618530273,25.829999923706055,-0.07419353846332644
