data,maxima,minima,abertura,fechamento,variacao
2021-06-28,19.200000762939453,17.959999084472656,18.389999389648438,18.950000762939453,0.03045140793241327
2021-07-05,19.420000076293945,18.239999771118164,18.84000015258789,19.059999465942383,0.011677245837191395
2021-07-12,19.93000030517578,19.010000228881836,19.1200008392334,19.010000228881836,-0.005753169744943007
2021-07-19,18.899999618530273,18.219999313354492,18.81999969482422,18.360000610351562,-0.024442034640370525
2021-07-26,18.6200008392334,17.68000030517578,18.40999984741211,17.68000030517578,-0.03965233830998342
2021-08-02,18.110000610351562,16.90999984741211,18.020000457763672,17.100000381469727,-0.05105438695466713
2021-08-09,17.8700008392334,15.100000381469727,16.969999313354492,15.59000015258789,-0.08131993026544292
2021-08-16,16.31999969482422,14.920000076293945,15.649999618530273,15.369999885559082,-0.0178913571754762
2021-08-23,15.640000343322754,14.550000190734863,15.390000343322754,14.65999984741211,-0.047433429475352104
2021-08-30,15.039999961853027,14.220000267028809,14.65999984741211,14.380000114440918,-0.019099572707063774
