datas,variacao_carteira,variacao_benchmark
2022-03-28,-0.003152763500014938,0.013074891042574643
2022-04-04,-0.003938486854835804,-0.0267091116978835
2022-04-11,-0.04141247102028582,-0.018069641649763355
2022-04-18,-0.0473261779329002,-0.04393107366029162
2022-04-25,-0.003052671775329984,-0.028817847079053268
2022-05-02,-0.007134217773157982,-0.0254088026993956
2022-05-09,0.023520980225680214,0.01726778867651676
2022-05-16,0.02814815451836896,-0.001812577632607996
2022-05-23,-0.007071203126177306,0.031723502304147465
2022-05-30,-0.0010969402826302918,0.004010934038447795
