datas,variacao_carteira,variacao_benchmark
out21,0.026264453654147743,0.017300414489097134
nov21,-0.009907565595828761,-0.0005934455270150575
dez21,0.02576064489544792,0.01607671446549799
jan22,-0.04485098323980004,-0.07284098144739941
fev22,-0.04094743465325085,-0.026312818679561232
mar22,-0.011056622420621904,0.012655293003844893
abr22,0.05149644691266708,0.01419522246813707
mai22,-0.025457571991990592,-0.031043108636774
jun22,-0.00484401717192552,-0.007880740711984163
jul22,-0.014294777520525914,0.021902237178044938
