datas,variacao_carteira,variacao_benchmark
jan19,0.1081729948684106,0.10817299486841056
fev19,0.042290245185212766,-0.018594383695261563
mar19,0.01650040349264671,-0.001768078339471041
abr19,0.0052930761218561865,0.009746077989583223
mai19,0.007172588463654402,0.007172588463654387
jun19,0.03436383999332935,0.0405107382826992
jul19,0.008309151951511794,0.00830915195151179
ago19,-0.004454209421729607,-0.006717803160510317
set19,0.025014174729045068,0.035715345139568686
out19,0.07518323638896753,0.023628812831161392
nov19,-0.01813798364084821,0.009438449557456095
dez19,-0.017375850302374207,0.06835356502780703
