Data,Ibovespa,MAD,MinMax,MADD,DMinMax
JAN 19,0.1082,0.108199999999938,0.0838791836427897,0.1082,0.0866498272562277
FEV 19,-0.0186,-0.00937435829145319,-0.00955655634874559,0.0312793300442418,0.00182446102779868
MAR 19,-0.0018,-0.00180000000001104,0.00629584564766039,0.0199293722053463,0.0169943479282884
ABR 19,0.0098,-0.00470791827146443,0.00398004731941546,0.0104331780509813,0.0111549300033997
MAI 19,0.007,0.0209788352424336,0.0290217603962284,0.0070000000000017,0.0271184559171754
JUN 19,0.0406,0.0405999999999899,0.0357051722534622,0.0465437480541629,0.0342617862983667
JUL 19,0.0084,-0.0216970294271238,-0.0159208160675474,0.00839999999999751,-0.0131501727437737
AGO 19,-0.0067,-0.00669999999999801,-0.0187110110456017,-0.00619615469042639,-0.0282501727437713
SET 19,0.0357,0.03346782647292,0.0249336068982215,0.0321182066678826,0.0227588126237145
OUT 19,0.0236,0.0590540679750187,0.0479208163736881,0.0787174545530635,0.0544503705800024
NOV 19,0.0095,-0.0292123226569196,-0.0148208163453483,-0.0133022322033153,-0.00809462760234983
DEZ 19,0.0685,0.046298029690342,0.0486869725039123,0.0157543140576977,0.0469498272562254
