,dt_ini_treinamento,dt_fin_treinamento,dt_ini_validacao,dt_fin_validacao,modelo,beta,sharpe,mod_err,erro
0,2020-10-01,2020-12-01,2021-01-01,2021-03-01,MEQ,1.4044702558361895,-0.1849709729292753,0.0006381355795647137,0.0006381355795647137
1,2020-10-01,2020-12-01,2021-01-01,2021-03-01,MENS,1.345996998371824,-0.19641870316104262,9.26373222680521e-05,9.26373222680521e-05
2,2020-10-01,2020-12-01,2021-01-01,2021-03-01,DMINMAX,1.0780846445129244,-0.07580558108234266,0.04828449394968026,0.04828449394968026
3,2020-10-01,2020-12-01,2021-01-01,2021-03-01,MADD,1.1968019139738748,-0.13517410380711536,0.019671303181761357,0.019671303181761357
4,2020-10-01,2020-12-01,2021-01-01,2021-03-01,MAD,1.536776349071241,-0.26520315251790916,0.0366364915415438,-0.0366364915415438
5,2020-10-01,2020-12-01,2021-01-01,2021-03-01,MINMAX,1.1489358254128657,-0.05298307446703539,0.052173832874487514,0.052173832874487514
6,2021-01-01,2021-03-01,2021-04-01,2021-06-01,MEQ,0.8887842572555865,0.06512550946082953,0.0709828254623035,-0.0709828254623035
7,2021-01-01,2021-03-01,2021-04-01,2021-06-01,MENS,0.8710274880741864,-0.23925717282824094,0.13346507829491316,-0.13346507829491316
8,2021-01-01,2021-03-01,2021-04-01,2021-06-01,DMINMAX,0.9089382272951781,0.10683616228293341,0.059520789852888,-0.059520789852888
9,2021-01-01,2021-03-01,2021-04-01,2021-06-01,MADD,1.2443028047991986,-0.04818958061153339,0.09899693134167964,-0.09899693134167964
10,2021-01-01,2021-03-01,2021-04-01,2021-06-01,MAD,0.8532029514603092,0.022640883009262685,0.08109911430611727,-0.08109911430611727
11,2021-01-01,2021-03-01,2021-04-01,2021-06-01,MINMAX,0.9089382272951789,0.106836162282933,0.059520789852888,-0.059520789852888
12,2021-07-01,2021-09-01,2021-10-01,2021-12-01,MEQ,0.7471620070820133,-0.35417279695170817,0.00818230948064913,0.00818230948064913
13,2021-07-01,2021-09-01,2021-10-01,2021-12-01,MENS,0.7668221778212915,-0.3497387169655584,0.0007102416489948027,-0.0007102416489948027
14,2021-07-01,2021-09-01,2021-10-01,2021-12-01,DMINMAX,0.6375729653581075,-0.4789343281584275,0.0008282227368902051,-0.0008282227368902051
15,2021-07-01,2021-09-01,2021-10-01,2021-12-01,MADD,0.5674895744033943,-0.5180804088256705,0.004062461056989264,-0.004062461056989264
16,2021-07-01,2021-09-01,2021-10-01,2021-12-01,MAD,0.6568431721358831,-0.37655570873555405,0.013438237375944961,0.013438237375944961
17,2021-07-01,2021-09-01,2021-10-01,2021-12-01,MINMAX,0.7483492055040668,-0.3627978235106193,0.005518832063134749,0.005518832063134749
18,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MVE,0.40804423901006986,-0.4726666911795263,0.03796743133602509,0.03796743133602509
19,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MEQ,0.03795144508367641,-0.4376797102766931,0.03376199669107638,0.03376199669107638
20,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MENS,0.5252301460821177,-0.6700201519586284,0.01523521607273881,0.01523521607273881
21,2022-01-01,2022-03-01,2022-04-01,2022-06-01,DMINMAX,1.231106643240197,-0.5267491024422156,0.0379174043378111,-0.0379174043378111
22,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MADD,1.0263605141847114,-0.5872111532036187,0.02383094192758972,-0.02383094192758972
23,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MAD,-0.514469214404175,-0.34452606186836104,0.008867356662045633,0.008867356662045633
24,2022-01-01,2022-03-01,2022-04-01,2022-06-01,MINMAX,0.011201014123084106,-0.35763157266521917,0.04432163860238769,0.04432163860238769
25,2021-04-01,2021-06-01,2021-07-01,2021-09-01,MEQ,1.0251905617690769,-0.530619366729775,0.010456427392929735,-0.010456427392929735
26,2021-04-01,2021-06-01,2021-07-01,2021-09-01,MENS,0.8655784070506545,-0.7834946889249216,0.02958495472073297,-0.02958495472073297
27,2021-04-01,2021-06-01,2021-07-01,2021-09-01,DMINMAX,0.799403946800891,-0.7979952454704781,0.03110578181766188,-0.03110578181766188
28,2021-04-01,2021-06-01,2021-07-01,2021-09-01,MADD,1.0407817764424299,-0.49572288528243824,0.007904453351198826,-0.007904453351198826
29,2021-04-01,2021-06-01,2021-07-01,2021-09-01,MAD,1.049885816681977,-0.5658794576094012,0.017823657729572284,-0.017823657729572284
30,2021-04-01,2021-06-01,2021-07-01,2021-09-01,MINMAX,0.7994039468008906,-0.7979952454704783,0.03110578181766177,-0.03110578181766177
